XZ,YZ,MAG,PowerRx
90.2677,87.3246,165.543,-42.0565675003197
90.2677,87.3246,165.543,-41.99109179493248
90.5379,87.5805,165.069,-41.99176718260142
90.5379,87.5805,165.069,-41.97470790819303
90.5379,87.5805,165.069,-41.865313760443065
90.5379,87.5805,165.069,-41.945001494955136
90.5379,87.5805,165.069,-41.98398161002934
90.5379,87.5805,165.111,-41.90720174335322
90.5379,87.5805,165.111,-41.8808039050139
90.5379,87.5805,165.111,-41.908551601299024
90.5329,87.603,165.111,-41.784391167892146
90.5329,87.603,165.111,-41.78045808925532
90.5329,87.603,165.111,-41.691473888365984
90.5329,87.603,165.111,-41.75350577647115
90.5329,87.603,165.111,-41.82418842878609
90.5329,87.603,165.111,-41.77062684478015
90.5329,87.603,165.111,-41.83645926546977
90.5329,87.603,165.111,-41.87631192549689
90.2715,87.5576,164.592,-41.83811056447353
90.2715,87.5576,164.592,-41.83557523287858
90.2715,87.5576,164.592,-41.843700152079286
90.2715,87.5576,164.592,-41.77358977724267
90.2715,87.5576,164.592,-41.857880766565174
90.2715,87.5576,165.069,-41.92376333142896
90.2715,87.5576,165.069,-41.823438223012545
90.2715,87.5576,165.069,-41.927000999079155
90.269,87.849,165.069,-41.98445596732208
90.269,87.849,165.069,-41.92687788480057
90.269,87.849,165.069,-41.91410989623626
90.269,87.849,164.82,-41.90504927393887
90.269,87.849,164.82,-41.94229984114465
90.269,87.849,164.82,-42.02964090429429
90.269,87.849,164.82,-41.94738352029652
90.269,87.849,164.82,-41.956957869535
90.269,87.849,164.82,-41.93109314848721
90.5405,87.8389,165.054,-41.99443914851496
90.5405,87.8389,165.054,-41.876595162195976
90.5405,87.8389,165.054,-41.949403004591005
90.5405,87.8389,165.054,-41.89374176700272
90.5405,87.8389,165.054,-41.85714167977997
90.5405,87.8389,165.111,-41.876002242062
90.5405,87.8389,165.111,-41.8048462685768
90.5405,87.8389,165.111,-41.85813947665804
90.0,87.8286,165.111,-41.88364613113778
90.0,87.8286,165.111,-41.83328024068145
90.0,87.8286,165.111,-41.99375803173779
90.0,87.8286,164.764,-41.96717431855443
90.0,87.8286,164.764,-41.94785544310819
90.0,87.8286,164.764,-41.96652603955127
90.0,87.8286,164.764,-42.100550462045774
90.0,87.8286,164.764,-41.98921113451788
90.0,87.849,164.764,-42.089856315424605
90.5379,87.849,165.167,-41.94243080663642
90.5379,87.849,165.167,-41.98833447919827
90.5379,87.849,165.167,-42.051612615323
90.5379,87.849,165.167,-42.05592064215648
90.5379,87.849,165.167,-42.044503296461656
90.5379,87.849,165.167,-42.00713859235039
90.5379,87.849,165.167,-41.97878765429037
90.5379,87.849,165.167,-41.987097846928656
90.0,87.8286,165.167,-41.94352100050875
90.0,87.8286,165.167,-41.95753219015752
90.0,87.8286,165.167,-42.03327611538489
90.0,87.8286,165.279,-41.915760291742075
90.0,87.8286,165.279,-41.9491363256503
