relPosN,relPosE,relPosD,accN,accE,accD,pos_type
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-99.12,-222.08,5.96,58.9,83.9,71.4,relPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
-74.082832099,4.639360841,2614951.8,2610277.2,102.5,71.3,absPos
